id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am 
2298,south,north,south,1998-11-23,45,75,93,87,81
2299,east,west,east,1998-11-24,40,51,88,103,61
2300,west,east,west,1998-11-25,29,69,91,104,90
2301,north,south,north,1998-11-26,28,72,97,99,80
2302,south,north,south,1998-11-27,34,52,95,103,82
2303,east,west,east,1998-11-28,38,66,95,100,83
2304,west,east,west,1998-11-29,53,59,87,93,71
2305,north,south,north,1998-11-30,32,70,103,94,91
2306,south,north,south,1998-12-01,26,45,62,58,48
2307,east,west,east,1998-12-02,30,39,52,65,45
2308,west,east,west,1998-12-03,29,49,52,57,62
2309,north,south,north,1998-12-04,37,32,64,58,39
2310,south,north,south,1998-12-05,32,49,51,54,45
2311,east,west,east,1998-12-06,21,43,54,66,59
2312,west,east,west,1998-12-07,29,38,49,57,46
2313,north,south,north,1998-12-08,34,40,54,65,50
2314,south,north,south,1998-12-09,29,38,56,71,46
2315,east,west,east,1998-12-10,20,46,52,61,62
2316,west,east,west,1998-12-11,22,49,61,54,41
2317,north,south,north,1998-12-12,29,37,53,66,56
2318,south,north,south,1998-12-13,29,36,55,68,45
2319,east,west,east,1998-12-14,36,41,60,72,49
2320,west,east,west,1998-12-15,32,51,55,60,37
2321,north,south,north,1998-12-16,24,42,55,66,58
2322,south,north,south,1998-12-17,30,37,63,64,50
2323,east,west,east,1998-12-18,24,40,55,62,56
2324,west,east,west,1998-12-19,31,31,58,71,49
2325,north,south,north,1998-12-20,36,41,65,51,49
2326,south,north,south,1998-12-21,32,45,62,63,56
2327,east,west,east,1998-12-22,20,35,46,65,42
2328,west,east,west,1998-12-23,28,33,54,61,51
2329,north,south,north,1998-12-24,29,37,58,57,59
2330,south,north,south,1998-12-25,31,53,52,65,41
2331,east,west,east,1998-12-26,32,43,60,52,44
2332,west,east,west,1998-12-27,37,41,54,55,53
2333,north,south,north,1998-12-28,35,43,56,52,39
2334,south,north,south,1998-12-29,35,51,66,59,42
2335,east,west,east,1998-12-30,29,41,56,67,42
2336,west,east,west,1998-12-31,20,41,60,56,47
2337,north,south,north,1999-01-01,29,45,67,79,54
2338,south,north,south,1999-01-02,37,57,69,72,66
2339,east,west,east,1999-01-03,45,61,64,82,55
2340,west,east,west,1999-01-04,26,52,65,69,66
2341,north,south,north,1999-01-05,36,44,55,76,52
2342,south,north,south,1999-01-06,28,57,70,86,61
2343,east,west,east,1999-01-07,36,46,59,79,44
2344,west,east,west,1999-01-08,31,55,81,75,68
2345,north,south,north,1999-01-09,19,51,66,78,64
2346,south,north,south,1999-01-10,34,47,66,75,58
2347,east,west,east,1999-01-11,35,41,64,74,60
2348,west,east,west,1999-01-12,39,54,69,69,71
2349,north,south,north,1999-01-13,38,54,76,68,54
2350,south,north,south,1999-01-14,40,44,66,68,66
2351,east,west,east,1999-01-15,23,48,62,65,63
2352,west,east,west,1999-01-16,30,48,66,68,51
2353,north,south,north,1999-01-17,26,50,65,68,56
2354,south,north,south,1999-01-18,22,60,63,73,61
2355,east,west,east,1999-01-19,28,51,75,68,50
2356,west,east,west,1999-01-20,28,59,68,70,70
2357,north,south,north,1999-01-21,45,37,75,85,69
2358,south,north,south,1999-01-22,30,51,61,79,70
2359,east,west,east,1999-01-23,43,43,55,84,52
2360,west,east,west,1999-01-24,34,45,59,68,61
2361,north,south,north,1999-01-25,30,45,59,69,62
2362,south,north,south,1999-01-26,42,51,69,77,62
2363,east,west,east,1999-01-27,25,38,67,85,50
2364,west,east,west,1999-01-28,19,53,77,86,64
2365,north,south,north,1999-01-29,19,49,73,72,73
2366,south,north,south,1999-01-30,35,59,79,71,44
2367,east,west,east,1999-01-31,23,61,76,80,51
2368,west,east,west,1999-02-01,51,63,92,95,62
2369,north,south,north,1999-02-02,45,55,88,109,70
2370,south,north,south,1999-02-03,33,69,91,79,86
2371,east,west,east,1999-02-04,44,60,74,106,65
2372,west,east,west,1999-02-05,34,57,78,91,72
2373,north,south,north,1999-02-06,42,70,82,98,71
2374,south,north,south,1999-02-07,40,59,78,85,76
2375,east,west,east,1999-02-08,29,62,83,92,67
2376,west,east,west,1999-02-09,41,68,94,100,76
2377,north,south,north,1999-02-10,23,69,81,94,65
2378,south,north,south,1999-02-11,28,77,87,105,70
2379,east,west,east,1999-02-12,39,61,84,91,74
2380,west,east,west,1999-02-13,46,55,84,96,72
2381,north,south,north,1999-02-14,36,62,90,88,66
2382,south,north,south,1999-02-15,39,68,99,92,70
2383,east,west,east,1999-02-16,39,62,74,102,72
2384,west,east,west,1999-02-17,38,48,85,95,79
2385,north,south,north,1999-02-18,30,67,86,103,55
2386,south,north,south,1999-02-19,25,56,83,96,68
2387,east,west,east,1999-02-20,27,47,83,94,85
2388,west,east,west,1999-02-21,45,77,87,91,62
2389,north,south,north,1999-02-22,42,75,91,100,75
2390,south,north,south,1999-02-23,31,62,71,103,82
2391,east,west,east,1999-02-24,30,65,92,105,62
2392,west,east,west,1999-02-25,50,73,71,108,64
2393,north,south,north,1999-02-26,42,60,90,81,82
2394,south,north,south,1999-02-27,25,67,100,91,77
2395,east,west,east,1999-02-28,39,55,81,91,61
2396,west,east,west,1999-03-01,50,85,87,108,91
2397,north,south,north,1999-03-02,33,69,114,109,102
2398,south,north,south,1999-03-03,33,76,94,117,96
2399,east,west,east,1999-03-04,55,64,96,130,100
2400,west,east,west,1999-03-05,28,71,102,106,91
2401,north,south,north,1999-03-06,41,65,97,119,91
2402,south,north,south,1999-03-07,28,76,94,114,88
2403,east,west,east,1999-03-08,41,72,100,119,92
2404,west,east,west,1999-03-09,47,72,117,118,93
2405,north,south,north,1999-03-10,41,75,108,124,97
2406,south,north,south,1999-03-11,58,60,112,115,67
2407,east,west,east,1999-03-12,46,65,99,100,84
2408,west,east,west,1999-03-13,43,71,113,104,105
2409,north,south,north,1999-03-14,37,66,107,115,70
2410,south,north,south,1999-03-15,38,75,100,117,106
2411,east,west,east,1999-03-16,38,71,87,111,67
2412,west,east,west,1999-03-17,42,75,90,121,75
2413,north,south,north,1999-03-18,43,76,104,114,99
2414,south,north,south,1999-03-19,47,73,115,121,89
2415,east,west,east,1999-03-20,38,79,117,112,95
2416,west,east,west,1999-03-21,44,76,105,108,91
2417,north,south,north,1999-03-22,44,77,95,127,83
2418,south,north,south,1999-03-23,28,74,93,117,103
2419,east,west,east,1999-03-24,50,75,95,108,81
2420,west,east,west,1999-03-25,39,73,105,107,81
2421,north,south,north,1999-03-26,36,70,93,107,86
2422,south,north,south,1999-03-27,41,72,100,109,77
2423,east,west,east,1999-03-28,48,77,102,111,81
2424,west,east,west,1999-03-29,47,86,112,118,95
2425,north,south,north,1999-03-30,34,87,103,109,69
2426,south,north,south,1999-03-31,44,74,104,117,99
2427,east,west,east,1999-04-01,40,70,98,127,74
2428,west,east,west,1999-04-02,42,77,105,113,91
2429,north,south,north,1999-04-03,50,74,99,105,76
2430,south,north,south,1999-04-04,54,86,103,99,81
2431,east,west,east,1999-04-05,59,77,103,120,98
2432,west,east,west,1999-04-06,36,72,101,130,92
2433,north,south,north,1999-04-07,61,66,99,112,78
2434,south,north,south,1999-04-08,49,71,114,111,77
2435,east,west,east,1999-04-09,42,58,102,107,87
2436,west,east,west,1999-04-10,39,67,97,117,87
2437,north,south,north,1999-04-11,36,67,115,111,80
2438,south,north,south,1999-04-12,43,87,114,113,72
2439,east,west,east,1999-04-13,60,61,112,104,91
2440,west,east,west,1999-04-14,37,73,88,115,104
2441,north,south,north,1999-04-15,29,58,102,104,104
2442,south,north,south,1999-04-16,39,72,110,124,103
2443,east,west,east,1999-04-17,27,82,110,106,89
2444,west,east,west,1999-04-18,53,79,105,108,104
2445,north,south,north,1999-04-19,60,64,118,124,89
2446,south,north,south,1999-04-20,45,75,91,104,80
2447,east,west,east,1999-04-21,35,64,119,106,106
2448,west,east,west,1999-04-22,40,82,98,113,78
2449,north,south,north,1999-04-23,44,65,98,115,93
2450,south,north,south,1999-04-24,44,76,105,112,96
2451,east,west,east,1999-04-25,48,84,117,115,84
2452,west,east,west,1999-04-26,29,75,106,116,92
2453,north,south,north,1999-04-27,38,65,94,129,99
2454,south,north,south,1999-04-28,39,83,114,114,99
2455,east,west,east,1999-04-29,58,91,116,129,87
2456,west,east,west,1999-04-30,44,86,120,122,91
2457,north,south,north,1999-05-01,38,66,85,95,78
2458,south,north,south,1999-05-02,43,73,86,90,70
2459,east,west,east,1999-05-03,38,68,79,91,79
2460,west,east,west,1999-05-04,37,62,97,86,93
2461,north,south,north,1999-05-05,27,67,92,93,68
2462,south,north,south,1999-05-06,37,57,75,100,77
2463,east,west,east,1999-05-07,45,61,100,105,82
2464,west,east,west,1999-05-08,37,66,81,87,66
2465,north,south,north,1999-05-09,48,67,100,79,72
2466,south,north,south,1999-05-10,43,52,88,101,84
2467,east,west,east,1999-05-11,48,53,78,88,86
2468,west,east,west,1999-05-12,29,57,97,80,71
2469,north,south,north,1999-05-13,31,47,79,102,83
2470,south,north,south,1999-05-14,27,68,92,95,78
2471,east,west,east,1999-05-15,45,68,86,101,71
2472,west,east,west,1999-05-16,28,57,83,94,90
2473,north,south,north,1999-05-17,34,70,87,108,73
2474,south,north,south,1999-05-18,42,69,87,82,87
2475,east,west,east,1999-05-19,41,51,79,96,79
2476,west,east,west,1999-05-20,42,47,75,87,63
2477,north,south,north,1999-05-21,38,61,93,109,58
2478,south,north,south,1999-05-22,49,62,84,81,78
2479,east,west,east,1999-05-23,29,64,89,105,91
2480,west,east,west,1999-05-24,33,60,86,79,63
2481,north,south,north,1999-05-25,42,69,93,100,73
2482,south,north,south,1999-05-26,48,47,87,84,67
2483,east,west,east,1999-05-27,49,68,76,94,83
2484,west,east,west,1999-05-28,33,59,98,94,67
2485,north,south,north,1999-05-29,37,68,71,102,91
2486,south,north,south,1999-05-30,40,61,91,109,88
2487,east,west,east,1999-05-31,40,62,92,92,93
2488,west,east,west,1999-06-01,21,49,78,74,54
2489,north,south,north,1999-06-02,29,49,81,79,79
2490,south,north,south,1999-06-03,33,49,63,82,73
2491,east,west,east,1999-06-04,30,62,65,84,49
2492,west,east,west,1999-06-05,33,68,65,88,76
2493,north,south,north,1999-06-06,24,55,69,91,63
2494,south,north,south,1999-06-07,21,53,66,80,70
2495,east,west,east,1999-06-08,39,62,77,86,74
2496,west,east,west,1999-06-09,37,42,67,78,77
2497,north,south,north,1999-06-10,34,56,88,97,67
2498,south,north,south,1999-06-11,28,68,81,87,70
2499,east,west,east,1999-06-12,28,55,80,92,60
2500,west,east,west,1999-06-13,44,49,72,82,59
2501,north,south,north,1999-06-14,37,62,71,88,80
2502,south,north,south,1999-06-15,33,48,82,91,60
2503,east,west,east,1999-06-16,47,56,79,79,59
2504,west,east,west,1999-06-17,30,42,86,79,75
2505,north,south,north,1999-06-18,44,53,77,86,56
2506,south,north,south,1999-06-19,35,58,77,83,58
2507,east,west,east,1999-06-20,21,49,64,74,67
2508,west,east,west,1999-06-21,49,70,73,81,63
2509,north,south,north,1999-06-22,28,67,81,93,59
2510,south,north,south,1999-06-23,43,60,70,86,76
2511,east,west,east,1999-06-24,22,54,82,78,57
2512,west,east,west,1999-06-25,48,53,78,76,69
2513,north,south,north,1999-06-26,44,45,71,86,67
2514,south,north,south,1999-06-27,37,60,78,95,59
2515,east,west,east,1999-06-28,37,68,84,89,73
2516,west,east,west,1999-06-29,33,46,83,82,49
2517,north,south,north,1999-06-30,46,44,74,79,81
2518,south,north,south,1999-07-01,22,41,56,76,58
2519,east,west,east,1999-07-02,17,34,63,68,53
2520,west,east,west,1999-07-03,25,48,63,54,60
2521,north,south,north,1999-07-04,24,54,68,70,57
2522,south,north,south,1999-07-05,25,47,61,52,50
2523,east,west,east,1999-07-06,32,33,61,75,53
2524,west,east,west,1999-07-07,20,35,70,66,53
2525,north,south,north,1999-07-08,39,52,51,66,41
2526,south,north,south,1999-07-09,31,48,54,63,38
2527,east,west,east,1999-07-10,31,53,58,58,63
2528,west,east,west,1999-07-11,41,39,53,69,54
2529,north,south,north,1999-07-12,30,48,61,70,55
2530,south,north,south,1999-07-13,34,33,63,54,43
2531,east,west,east,1999-07-14,36,41,64,69,47
2532,west,east,west,1999-07-15,40,39,48,64,59
2533,north,south,north,1999-07-16,24,47,61,57,48
2534,south,north,south,1999-07-17,37,42,50,70,59
2535,east,west,east,1999-07-18,32,40,69,76,47
2536,west,east,west,1999-07-19,34,34,56,52,52
2537,north,south,north,1999-07-20,30,35,53,70,65
2538,south,north,south,1999-07-21,17,35,58,59,39
2539,east,west,east,1999-07-22,26,42,63,59,52
2540,west,east,west,1999-07-23,31,40,52,55,47
2541,north,south,north,1999-07-24,36,39,57,56,49
2542,south,north,south,1999-07-25,32,46,61,59,61
2543,east,west,east,1999-07-26,25,52,53,60,46
2544,west,east,west,1999-07-27,39,48,54,63,58
2545,north,south,north,1999-07-28,26,46,70,73,52
2546,south,north,south,1999-07-29,36,32,55,71,57
2547,east,west,east,1999-07-30,31,49,62,61,57
2548,west,east,west,1999-07-31,35,37,62,60,57
2549,north,south,north,1999-08-01,22,54,72,67,59
2550,south,north,south,1999-08-02,26,47,63,68,61
2551,east,west,east,1999-08-03,26,51,62,84,65
2552,west,east,west,1999-08-04,26,53,75,86,55
2553,north,south,north,1999-08-05,35,60,58,82,53
2554,south,north,south,1999-08-06,36,63,63,84,57
2555,east,west,east,1999-08-07,31,46,77,77,66
2556,west,east,west,1999-08-08,25,50,57,68,66
2557,north,south,north,1999-08-09,36,41,75,76,72
2558,south,north,south,1999-08-10,33,45,58,74,60
2559,east,west,east,1999-08-11,29,44,75,72,60
2560,west,east,west,1999-08-12,23,53,62,67,65
2561,north,south,north,1999-08-13,34,37,69,67,49
2562,south,north,south,1999-08-14,42,58,72,62,53
2563,east,west,east,1999-08-15,22,53,73,85,50
2564,west,east,west,1999-08-16,23,49,63,76,58
2565,north,south,north,1999-08-17,37,60,78,64,54
2566,south,north,south,1999-08-18,37,55,64,69,43
2567,east,west,east,1999-08-19,35,44,69,75,60
2568,west,east,west,1999-08-20,29,40,60,87,43
2569,north,south,north,1999-08-21,33,52,61,79,45
2570,south,north,south,1999-08-22,25,46,71,69,61
2571,east,west,east,1999-08-23,32,46,79,63,69
2572,west,east,west,1999-08-24,34,56,61,81,64
2573,north,south,north,1999-08-25,26,37,71,68,68
2574,south,north,south,1999-08-26,37,43,76,72,66
2575,east,west,east,1999-08-27,26,51,68,84,49
2576,west,east,west,1999-08-28,41,42,71,76,53
2577,north,south,north,1999-08-29,32,40,68,85,52
2578,south,north,south,1999-08-30,34,47,65,82,53
2579,east,west,east,1999-08-31,24,55,65,75,72
2580,west,east,west,1999-09-01,33,62,86,98,86
2581,north,south,north,1999-09-02,42,69,80,87,89
2582,south,north,south,1999-09-03,42,62,75,97,69
2583,east,west,east,1999-09-04,38,56,75,101,78
2584,west,east,west,1999-09-05,38,63,89,79,79
2585,north,south,north,1999-09-06,49,53,90,92,59
2586,south,north,south,1999-09-07,25,47,75,95,84
2587,east,west,east,1999-09-08,45,50,72,90,76
2588,west,east,west,1999-09-09,31,62,84,93,93
2589,north,south,north,1999-09-10,36,77,83,100,66
2590,south,north,south,1999-09-11,30,67,83,88,84
2591,east,west,east,1999-09-12,46,68,90,95,69
2592,west,east,west,1999-09-13,38,71,75,101,78
2593,north,south,north,1999-09-14,46,51,77,89,71
2594,south,north,south,1999-09-15,42,63,80,79,69
2595,east,west,east,1999-09-16,40,54,94,82,63
2596,west,east,west,1999-09-17,31,66,82,99,85
2597,north,south,north,1999-09-18,37,61,79,108,82
2598,south,north,south,1999-09-19,34,59,71,90,66
2599,east,west,east,1999-09-20,29,61,75,106,75
2600,west,east,west,1999-09-21,35,62,78,93,69
2601,north,south,north,1999-09-22,41,59,98,79,76
2602,south,north,south,1999-09-23,37,65,79,90,79
2603,east,west,east,1999-09-24,28,73,97,105,86
2604,west,east,west,1999-09-25,52,68,71,96,86
2605,north,south,north,1999-09-26,36,61,90,101,72
2606,south,north,south,1999-09-27,51,72,84,95,67
2607,east,west,east,1999-09-28,52,48,101,94,81
2608,west,east,west,1999-09-29,26,63,76,95,78
2609,north,south,north,1999-09-30,36,69,83,87,63
2610,south,north,south,1999-10-01,47,73,114,123,77
2611,east,west,east,1999-10-02,41,62,93,112,91
2612,west,east,west,1999-10-03,55,77,115,124,86
2613,north,south,north,1999-10-04,51,75,113,107,74
2614,south,north,south,1999-10-05,48,77,117,129,91
2615,east,west,east,1999-10-06,53,58,106,100,95
2616,west,east,west,1999-10-07,50,71,108,109,93
2617,north,south,north,1999-10-08,43,85,120,110,75
2618,south,north,south,1999-10-09,41,69,98,101,85
2619,east,west,east,1999-10-10,31,61,95,104,89
2620,west,east,west,1999-10-11,40,90,119,117,106
2621,north,south,north,1999-10-12,42,60,107,130,104
2622,south,north,south,1999-10-13,46,82,114,124,96
2623,east,west,east,1999-10-14,36,73,100,105,83
2624,west,east,west,1999-10-15,41,67,121,115,106
2625,north,south,north,1999-10-16,44,75,103,104,97
2626,south,north,south,1999-10-17,47,83,113,127,89
2627,east,west,east,1999-10-18,37,69,100,107,81
2628,west,east,west,1999-10-19,54,78,103,116,74
2629,north,south,north,1999-10-20,43,74,96,125,91
2630,south,north,south,1999-10-21,54,72,100,127,87
2631,east,west,east,1999-10-22,29,69,87,116,91
2632,west,east,west,1999-10-23,58,78,114,124,74
2633,north,south,north,1999-10-24,58,84,117,115,86
2634,south,north,south,1999-10-25,41,86,87,129,93
2635,east,west,east,1999-10-26,51,62,110,117,97
2636,west,east,west,1999-10-27,46,82,121,121,98
2637,north,south,north,1999-10-28,45,83,110,102,90
2638,south,north,south,1999-10-29,61,81,94,121,77
2639,east,west,east,1999-10-30,38,75,116,126,94
2640,west,east,west,1999-10-31,50,83,100,131,82
2641,north,south,north,1999-11-01,38,56,95,106,77
2642,south,north,south,1999-11-02,32,76,97,108,85
2643,east,west,east,1999-11-03,35,66,97,95,75
2644,west,east,west,1999-11-04,55,74,96,101,86
2645,north,south,north,1999-11-05,46,78,95,103,75
2646,south,north,south,1999-11-06,36,83,104,107,83
2647,east,west,east,1999-11-07,32,59,84,88,85
2648,west,east,west,1999-11-08,40,60,103,100,75
2649,north,south,north,1999-11-09,47,59,90,111,80
2650,south,north,south,1999-11-10,37,76,109,96,73
2651,east,west,east,1999-11-11,36,72,85,117,90
2652,west,east,west,1999-11-12,41,76,85,111,74
2653,north,south,north,1999-11-13,43,57,96,110,93
2654,south,north,south,1999-11-14,27,70,99,95,92
2655,east,west,east,1999-11-15,40,69,102,102,82
2656,west,east,west,1999-11-16,43,75,90,116,72
2657,north,south,north,1999-11-17,32,72,95,91,83
2658,south,north,south,1999-11-18,40,62,87,103,91
2659,east,west,east,1999-11-19,50,75,109,110,87
2660,west,east,west,1999-11-20,52,76,94,120,68
2661,north,south,north,1999-11-21,33,64,109,110,79
2662,south,north,south,1999-11-22,41,75,96,88,78
2663,east,west,east,1999-11-23,49,67,87,88,79
2664,west,east,west,1999-11-24,29,75,91,91,87
2665,north,south,north,1999-11-25,53,61,86,95,86
2666,south,north,south,1999-11-26,39,73,84,107,82
2667,east,west,east,1999-11-27,39,76,94,106,74
2668,west,east,west,1999-11-28,26,63,92,113,88
2669,north,south,north,1999-11-29,38,59,86,100,66
2670,south,north,south,1999-11-30,39,58,94,95,64
2671,east,west,east,1999-12-01,23,39,70,69,54
2672,west,east,west,1999-12-02,31,39,54,61,43
2673,north,south,north,1999-12-03,30,41,48,73,51
2674,south,north,south,1999-12-04,31,49,63,52,50
2675,east,west,east,1999-12-05,41,36,62,67,46
2676,west,east,west,1999-12-06,23,49,54,63,45
2677,north,south,north,1999-12-07,20,47,55,60,45
2678,south,north,south,1999-12-08,29,56,52,61,48
2679,east,west,east,1999-12-09,26,43,70,55,43
2680,west,east,west,1999-12-10,24,47,66,75,48
2681,north,south,north,1999-12-11,24,52,60,71,47
2682,south,north,south,1999-12-12,19,41,65,69,47
2683,east,west,east,1999-12-13,27,33,58,53,39
2684,west,east,west,1999-12-14,36,49,56,64,59
2685,north,south,north,1999-12-15,26,39,54,73,40
2686,south,north,south,1999-12-16,33,42,60,76,40
2687,east,west,east,1999-12-17,29,46,54,58,50
2688,west,east,west,1999-12-18,39,48,68,70,55
2689,north,south,north,1999-12-19,17,46,54,66,50
2690,south,north,south,1999-12-20,38,49,49,73,48
2691,east,west,east,1999-12-21,26,47,49,59,46
2692,west,east,west,1999-12-22,24,54,63,61,48
2693,north,south,north,1999-12-23,36,36,68,70,51
2694,south,north,south,1999-12-24,21,35,61,70,60
2695,east,west,east,1999-12-25,32,39,54,67,42
2696,west,east,west,1999-12-26,37,44,60,66,59
2697,north,south,north,1999-12-27,31,53,62,67,53
2698,south,north,south,1999-12-28,24,51,57,55,39
2699,east,west,east,1999-12-29,29,40,47,62,52
2700,west,east,west,1999-12-30,27,32,58,63,46
2701,north,south,north,1999-12-31,38,52,62,55,51
2702,south,north,south,2000-01-01,40,57,73,82,58
2703,east,west,east,2000-01-02,30,50,72,67,60
2704,west,east,west,2000-01-03,29,57,75,62,71
2705,north,south,north,2000-01-04,23,51,81,73,48
2706,south,north,south,2000-01-05,21,48,75,84,73
2707,east,west,east,2000-01-06,37,63,80,84,54
2708,west,east,west,2000-01-07,30,60,66,70,54
2709,north,south,north,2000-01-08,28,63,59,71,64
2710,south,north,south,2000-01-09,30,62,82,86,67
2711,east,west,east,2000-01-10,38,39,62,81,65
2712,west,east,west,2000-01-11,26,50,59,66,59
2713,north,south,north,2000-01-12,26,64,63,87,57
2714,south,north,south,2000-01-13,22,58,57,74,73
2715,east,west,east,2000-01-14,20,57,58,81,64
2716,west,east,west,2000-01-15,44,42,66,80,60
2717,north,south,north,2000-01-16,23,62,70,65,55
2718,south,north,south,2000-01-17,31,61,68,82,55
2719,east,west,east,2000-01-18,43,52,68,72,76
2720,west,east,west,2000-01-19,44,40,65,81,58
2721,north,south,north,2000-01-20,39,47,68,71,54
2722,south,north,south,2000-01-21,38,49,71,65,69
2723,east,west,east,2000-01-22,22,47,73,71,64
2724,west,east,west,2000-01-23,45,50,63,75,72
2725,north,south,north,2000-01-24,32,63,72,90,50
2726,south,north,south,2000-01-25,38,57,65,85,48
2727,east,west,east,2000-01-26,38,47,66,75,71
2728,west,east,west,2000-01-27,44,54,75,74,61
2729,north,south,north,2000-01-28,45,40,71,71,61
2730,south,north,south,2000-01-29,40,54,70,78,59
2731,east,west,east,2000-01-30,38,42,83,78,71
2732,west,east,west,2000-01-31,46,61,66,71,62
2733,north,south,north,2000-02-01,35,74,73,102,68
2734,south,north,south,2000-02-02,46,60,86,108,68
2735,east,west,east,2000-02-03,24,65,95,100,68
2736,west,east,west,2000-02-04,33,56,84,111,88
2737,north,south,north,2000-02-05,51,70,84,95,68
2738,south,north,south,2000-02-06,48,79,89,102,76
2739,east,west,east,2000-02-07,48,61,95,96,93
2740,west,east,west,2000-02-08,48,65,93,101,74
2741,north,south,north,2000-02-09,44,56,80,97,80
2742,south,north,south,2000-02-10,36,49,100,85,76
2743,east,west,east,2000-02-11,32,64,78,90,80
2744,west,east,west,2000-02-12,39,64,84,93,86
2745,north,south,north,2000-02-13,54,79,95,81,72
2746,south,north,south,2000-02-14,53,66,91,90,68
2747,east,west,east,2000-02-15,36,54,88,91,82
2748,west,east,west,2000-02-16,25,76,98,100,71
2749,north,south,north,2000-02-17,55,61,96,107,67
2750,south,north,south,2000-02-18,52,66,88,106,82
2751,east,west,east,2000-02-19,37,60,100,96,68
2752,west,east,west,2000-02-20,38,67,73,89,93
2753,north,south,north,2000-02-21,36,79,83,96,72
2754,south,north,south,2000-02-22,30,69,84,93,65
2755,east,west,east,2000-02-23,40,55,91,101,72
2756,west,east,west,2000-02-24,40,55,87,81,80
2757,north,south,north,2000-02-25,44,69,104,91,58
2758,south,north,south,2000-02-26,50,55,76,90,67
2759,east,west,east,2000-02-27,43,73,83,110,84
2760,west,east,west,2000-02-28,34,80,87,112,70
2761,north,south,north,2000-02-29,42,56,89,103,78
2762,south,north,south,2000-03-01,55,58,114,98,89
2763,east,west,east,2000-03-02,57,77,107,121,78
2764,west,east,west,2000-03-03,52,93,105,112,113
2765,north,south,north,2000-03-04,55,82,88,131,93
2766,south,north,south,2000-03-05,44,87,117,115,112
2767,east,west,east,2000-03-06,36,59,106,113,93
2768,west,east,west,2000-03-07,41,62,118,98,83
2769,north,south,north,2000-03-08,61,78,105,111,100
2770,south,north,south,2000-03-09,56,94,93,117,83
2771,east,west,east,2000-03-10,64,82,110,119,86
2772,west,east,west,2000-03-11,55,71,112,132,102
2773,north,south,north,2000-03-12,42,91,101,123,94
2774,south,north,south,2000-03-13,51,94,108,107,90
2775,east,west,east,2000-03-14,48,80,113,115,79
2776,west,east,west,2000-03-15,62,80,105,106,92
2777,north,south,north,2000-03-16,41,82,124,112,92
2778,south,north,south,2000-03-17,49,78,98,106,84
2779,east,west,east,2000-03-18,53,73,110,99,92
2780,west,east,west,2000-03-19,44,78,115,120,78
2781,north,south,north,2000-03-20,40,63,101,117,84
2782,south,north,south,2000-03-21,60,85,98,121,82
2783,east,west,east,2000-03-22,39,76,116,100,91
2784,west,east,west,2000-03-23,48,87,120,101,75
2785,north,south,north,2000-03-24,55,77,123,118,98
2786,south,north,south,2000-03-25,56,67,90,106,69
2787,east,west,east,2000-03-26,48,77,109,133,74
2788,west,east,west,2000-03-27,40,71,99,124,104
2789,north,south,north,2000-03-28,45,74,124,121,80
2790,south,north,south,2000-03-29,30,73,109,117,96
2791,east,west,east,2000-03-30,33,73,93,117,104
2792,west,east,west,2000-03-31,36,67,102,107,76
2793,north,south,north,2000-04-01,37,91,108,107,79
2794,south,north,south,2000-04-02,50,74,106,100,78
2795,east,west,east,2000-04-03,47,65,88,128,96
2796,west,east,west,2000-04-04,42,91,124,132,80
2797,north,south,north,2000-04-05,50,74,99,120,103
2798,south,north,south,2000-04-06,42,86,104,123,92
2799,east,west,east,2000-04-07,60,75,109,116,94
2800,west,east,west,2000-04-08,39,71,103,114,86
2801,north,south,north,2000-04-09,52,83,103,123,113
2802,south,north,south,2000-04-10,30,60,110,112,104
2803,east,west,east,2000-04-11,54,66,105,119,89
2804,west,east,west,2000-04-12,45,77,90,104,96
2805,north,south,north,2000-04-13,36,78,108,134,104
2806,south,north,south,2000-04-14,52,79,106,105,81
2807,east,west,east,2000-04-15,48,82,102,115,69
2808,west,east,west,2000-04-16,52,81,99,112,99
2809,north,south,north,2000-04-17,48,94,93,116,108
2810,south,north,south,2000-04-18,33,64,115,115,77
2811,east,west,east,2000-04-19,50,87,96,110,80
2812,west,east,west,2000-04-20,44,79,94,119,93
2813,north,south,north,2000-04-21,46,72,121,115,105
2814,south,north,south,2000-04-22,39,81,107,130,84
2815,east,west,east,2000-04-23,54,68,109,104,95
2816,west,east,west,2000-04-24,50,84,105,122,102
2817,north,south,north,2000-04-25,51,67,108,101,102
2818,south,north,south,2000-04-26,59,86,113,111,94
2819,east,west,east,2000-04-27,48,75,97,123,101
2820,west,east,west,2000-04-28,64,77,121,111,80
2821,north,south,north,2000-04-29,49,82,97,119,105
2822,south,north,south,2000-04-30,30,65,109,100,81
2823,east,west,east,2000-05-01,28,67,102,83,71
2824,west,east,west,2000-05-02,52,76,84,96,90
2825,north,south,north,2000-05-03,39,59,89,100,65
2826,south,north,south,2000-05-04,32,64,104,96,72
2827,east,west,east,2000-05-05,35,60,81,92,58
2828,west,east,west,2000-05-06,54,56,93,104,83
2829,north,south,north,2000-05-07,25,68,99,91,84
2830,south,north,south,2000-05-08,32,79,82,84,78
2831,east,west,east,2000-05-09,40,68,80,107,64
2832,west,east,west,2000-05-10,44,72,96,96,76
2833,north,south,north,2000-05-11,49,61,104,97,76
